Time(secs), Persons Detected, Crowd Density (persons per pixel), Violation Count
13.131721600000006,4,9.04224537037037e-06,3
13.249354400000001,5,1.1302806712962962e-05,4
13.388095400000012,5,1.1302806712962962e-05,4
13.507526100000007,4,9.04224537037037e-06,2
13.625392000000005,4,9.04224537037037e-06,2
13.760359300000005,4,9.04224537037037e-06,2
13.884933500000002,5,1.1302806712962962e-05,3
14.002762200000006,4,9.04224537037037e-06,2
14.1430005,4,9.04224537037037e-06,3
14.286871500000004,3,6.781684027777777e-06,1
14.406230000000008,4,9.04224537037037e-06,2
14.536823800000008,5,1.1302806712962962e-05,2
14.664668800000001,5,1.1302806712962962e-05,3
14.788768500000003,4,9.04224537037037e-06,2
14.90685040000001,4,9.04224537037037e-06,2
15.024605500000007,5,1.1302806712962962e-05,3
15.139355300000005,5,1.1302806712962962e-05,2
15.26986140000001,4,9.04224537037037e-06,3
15.392419100000012,4,9.04224537037037e-06,2
15.523481200000006,5,1.1302806712962962e-05,3
15.6630368,4,9.04224537037037e-06,2
15.780202400000007,5,1.1302806712962962e-05,1
15.899605500000007,6,1.3563368055555555e-05,3
16.0419962,6,1.3563368055555555e-05,1
16.168007200000005,6,1.3563368055555555e-05,1
16.290630500000006,6,1.3563368055555555e-05,1
16.426890600000007,5,1.1302806712962962e-05,1
16.54543290000001,4,9.04224537037037e-06,2
16.6689868,5,1.1302806712962962e-05,1
16.7823717,6,1.3563368055555555e-05,3
16.9000025,5,1.1302806712962962e-05,2
17.021079600000007,5,1.1302806712962962e-05,2
17.153503,7,1.5823929398148147e-05,3
17.2745436,7,1.5823929398148147e-05,1
17.392578400000005,7,1.5823929398148147e-05,3
17.526780400000007,7,1.5823929398148147e-05,3
17.647660700000003,7,1.5823929398148147e-05,3
17.7973755,7,1.5823929398148147e-05,3
17.922712700000005,7,1.5823929398148147e-05,3
18.044968100000006,5,1.1302806712962962e-05,3
18.19595860000001,5,1.1302806712962962e-05,2
18.319078000000005,5,1.1302806712962962e-05,1
18.440357300000002,6,1.3563368055555555e-05,2
18.587792500000006,6,1.3563368055555555e-05,3
