Time(secs), Persons Detected, Crowd Density (persons per pixel), Violation Count
62.531342300000006,5,1.1302806712962962e-05,0
62.72664019999979,5,1.1302806712962962e-05,1
62.92475439999998,5,1.1302806712962962e-05,0
63.12628809999978,5,1.1302806712962962e-05,1
63.316655299999866,5,1.1302806712962962e-05,1
63.552255799999784,6,1.3563368055555555e-05,0
63.9394319999999,5,1.1302806712962962e-05,0
64.30162259999997,6,1.3563368055555555e-05,1
64.69875069999989,6,1.3563368055555555e-05,1
65.07061269999986,6,1.3563368055555555e-05,0
65.43105779999996,6,1.3563368055555555e-05,0
65.80774569999994,6,1.3563368055555555e-05,1
66.18884449999996,7,1.5823929398148147e-05,1
66.55365549999988,6,1.3563368055555555e-05,0
66.79010219999986,6,1.3563368055555555e-05,0
66.99954649999995,6,1.3563368055555555e-05,0
67.20558179999989,6,1.3563368055555555e-05,0
67.39751969999998,6,1.3563368055555555e-05,0
67.6092064999998,6,1.3563368055555555e-05,0
67.81576589999986,6,1.3563368055555555e-05,0
68.03238579999993,6,1.3563368055555555e-05,0
68.32722849999982,6,1.3563368055555555e-05,0
68.69951109999988,6,1.3563368055555555e-05,0
69.07874049999987,7,1.5823929398148147e-05,1
69.47987789999979,7,1.5823929398148147e-05,0
69.84371369999985,7,1.5823929398148147e-05,0
70.21722119999981,7,1.5823929398148147e-05,0
70.58552009999994,7,1.5823929398148147e-05,1
70.95134409999991,7,1.5823929398148147e-05,1
71.30917259999978,7,1.5823929398148147e-05,1
71.51558569999997,7,1.5823929398148147e-05,1
71.72906579999994,7,1.5823929398148147e-05,0
71.93961689999992,7,1.5823929398148147e-05,0
72.13479939999979,7,1.5823929398148147e-05,0
72.3228575999999,6,1.3563368055555555e-05,1
72.5197627,7,1.5823929398148147e-05,0
72.80944919999979,6,1.3563368055555555e-05,1
73.18666479999979,7,1.5823929398148147e-05,0
73.5633229,7,1.5823929398148147e-05,1
73.93789399999991,7,1.5823929398148147e-05,0
74.29695629999992,6,1.3563368055555555e-05,0
74.48935829999982,7,1.5823929398148147e-05,1
74.68248359999984,6,1.3563368055555555e-05,0
74.87354189999996,6,1.3563368055555555e-05,0
75.06822659999989,6,1.3563368055555555e-05,0
75.26976919999993,6,1.3563368055555555e-05,0
75.46213439999997,6,1.3563368055555555e-05,0
75.70945639999991,7,1.5823929398148147e-05,1
76.10696479999979,7,1.5823929398148147e-05,0
76.51256899999998,7,1.5823929398148147e-05,0
76.91135129999998,5,1.1302806712962962e-05,0
77.28020629999992,6,1.3563368055555555e-05,0
77.4809972999999,6,1.3563368055555555e-05,1
77.6815416999998,6,1.3563368055555555e-05,1
77.86909929999979,5,1.1302806712962962e-05,0
78.05789089999985,7,1.5823929398148147e-05,1
78.2844427,7,1.5823929398148147e-05,0
78.49865479999994,6,1.3563368055555555e-05,0
78.69617729999982,6,1.3563368055555555e-05,0
79.03550929999983,6,1.3563368055555555e-05,1
79.42224479999982,6,1.3563368055555555e-05,1
79.80264359999978,6,1.3563368055555555e-05,1
80.15974799999981,6,1.3563368055555555e-05,0
80.52083389999984,7,1.5823929398148147e-05,1
80.90080939999984,7,1.5823929398148147e-05,1
81.30086039999992,7,1.5823929398148147e-05,1
81.64524959999994,7,1.5823929398148147e-05,1
81.96088489999988,7,1.5823929398148147e-05,0
82.1862752999998,6,1.3563368055555555e-05,0
82.3800213999998,6,1.3563368055555555e-05,0
82.57278389999988,6,1.3563368055555555e-05,0
82.78938299999982,6,1.3563368055555555e-05,0
82.98993449999989,6,1.3563368055555555e-05,1
83.18295939999985,6,1.3563368055555555e-05,1
83.50704969999992,4,9.04224537037037e-06,0
83.88182119999988,5,1.1302806712962962e-05,0
84.29751769999984,5,1.1302806712962962e-05,1
84.651478,5,1.1302806712962962e-05,1
84.94960989999981,6,1.3563368055555555e-05,2
85.13561419999996,6,1.3563368055555555e-05,2
85.34044319999998,6,1.3563368055555555e-05,1
85.52845919999982,6,1.3563368055555555e-05,1
85.72059399999989,6,1.3563368055555555e-05,1
85.90601019999986,5,1.1302806712962962e-05,1
86.10221309999997,5,1.1302806712962962e-05,1
86.30308579999996,5,1.1302806712962962e-05,0
86.66376979999995,5,1.1302806712962962e-05,0
87.03532969999992,5,1.1302806712962962e-05,0
87.40308929999992,6,1.3563368055555555e-05,1
87.79259259999981,6,1.3563368055555555e-05,2
88.09220269999992,6,1.3563368055555555e-05,2
88.29359219999992,6,1.3563368055555555e-05,2
88.51041759999998,5,1.1302806712962962e-05,1
88.73244409999984,5,1.1302806712962962e-05,1
88.92956959999992,5,1.1302806712962962e-05,1
89.1331032999999,5,1.1302806712962962e-05,1
89.33130599999981,5,1.1302806712962962e-05,0
89.69332579999991,4,9.04224537037037e-06,1
90.08123539999997,5,1.1302806712962962e-05,1
90.45781539999984,5,1.1302806712962962e-05,2
90.84554129999992,5,1.1302806712962962e-05,1
91.23377299999993,5,1.1302806712962962e-05,2
91.59987869999986,5,1.1302806712962962e-05,2
91.96523269999989,6,1.3563368055555555e-05,0
92.36131539999997,6,1.3563368055555555e-05,2
92.62802209999995,6,1.3563368055555555e-05,2
